,name,github_id,category,labels,homepage,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending
0,USYD-beamer-theme,malramsay64/usyd-beamer-theme,template,['latex'],https://github.com/malramsay64/usyd-beamer-theme,https://github.com/malramsay64/usyd-beamer-theme,MIT,2016-09-10 12:41:47,2021-05-22 03:54:42,2021-05-20 07:30:50,60,18,5,12.0,1.0,4.0,34,2018-08-10 07:34:31,0.1.1,3890.0,54.0,4.0,A Beamer theme that adheres to the University of Sydney Branding.,5.0,11,False,1,11
1,DeepRacer,MatthewSuntup/DeepRacer,course_project,['python'],https://github.com/MatthewSuntup/DeepRacer,https://github.com/MatthewSuntup/DeepRacer,,2020-08-09 09:28:47,2020-10-07 06:06:36,2020-10-07 06:06:29,53,14,2,,,,49,,,,,,An overview of our teams strategy and development for USYDs 2020 AWS DeepRacer competition.,2.0,4,False,1,4
2,COMP5318,co234/COMP5318,course_project,"['jupyter', 'html']",https://github.com/co234/COMP5318,https://github.com/co234/COMP5318,,2019-04-08 09:24:21,2022-05-24 07:51:10,2022-05-24 07:51:10,27,3,1,,,,14,,,,,,Tutorial materials for COMP5318-USYD.,,4,False,1,4
3,USYDTemplates,emitanaka/USYDTemplates,template,['R'],https://github.com/emitanaka/USYDTemplates,https://github.com/emitanaka/USYDTemplates,,2019-01-22 06:41:21,2019-02-10 11:42:44,2019-02-10 11:42:35,4,2,5,,1.0,,9,,,,,,R Markdown templates for the University of Sydney.,2.0,2,False,3,2
4,COMP2017-Study-Notes,Phoebezuo/COMP2017-Study-Notes,learn_material,['cpp'],https://github.com/Phoebezuo/COMP2017-Study-Notes,https://github.com/Phoebezuo/COMP2017-Study-Notes,,2020-08-12 14:44:49,2020-08-12 15:00:58,2020-08-12 15:00:57,2,4,1,,,,14,,,,,,Study Notes for COMP2017 at USYD.,2.0,1,False,1,1
